SUJETO;ITEM01;ITEM02;ITEM03;ITEM04;ITEM05;ITEM06;ITEM07;ITEM08;ITEM09;ITEM10;ITEM11;ITEM12;ITEM13;ITEM14;ITEM15;ITEM16;ITEM17;ITEM18;ITEM19;ITEM20;DIM1;DIM2;DIM3;DIM4;TOTAL
1;3;1;3;2;2;2;2;2;3;2;2;3;3;3;2;3;2;2;2;3;11;19;8;9;47
2;2;1;2;2;3;2;2;2;2;3;2;2;3;2;2;3;1;1;1;1;10;18;7;4;39
3;2;1;2;3;2;3;2;2;2;2;2;2;2;3;2;2;2;1;1;1;10;17;7;5;39
4;1;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;1;1;1;1;9;18;6;4;37
5;1;2;1;2;3;2;1;2;3;2;2;2;2;2;2;3;2;2;2;1;9;16;7;7;39
6;2;1;2;1;3;3;2;3;3;2;2;3;3;2;2;2;1;1;1;1;9;21;6;4;40
7;2;2;1;2;2;3;2;2;3;2;2;2;2;3;2;2;1;1;1;1;9;18;7;4;38
8;1;2;1;2;1;2;2;3;3;2;2;3;2;1;2;1;2;1;1;1;7;19;4;5;35
9;2;1;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;1;1;1;9;14;6;4;33
10;3;2;1;2;3;2;2;1;2;1;2;1;1;3;2;2;2;1;1;2;11;12;7;6;36
11;3;1;2;2;3;2;3;2;2;2;1;1;1;2;1;2;1;1;1;1;11;14;5;4;34
12;3;1;1;3;2;2;2;2;1;1;2;1;1;1;2;2;2;2;2;2;10;12;5;8;35
13;2;2;2;1;2;2;3;2;1;1;2;1;1;2;1;1;1;1;1;1;9;13;4;4;30
14;1;2;2;2;2;1;2;1;2;1;1;2;2;2;1;2;1;1;1;1;9;12;5;4;30
15;2;2;3;1;2;1;2;2;1;2;2;2;2;2;1;1;2;1;1;1;10;14;4;5;33
16;1;2;2;2;2;1;1;2;1;1;1;2;2;2;1;1;1;1;1;1;9;11;4;4;28
17;1;2;2;2;2;1;1;1;2;1;2;2;2;1;2;2;1;1;1;1;9;12;5;4;30
18;1;2;1;1;2;2;1;2;1;1;3;2;1;1;1;2;1;1;1;1;7;13;4;4;28
19;2;1;2;1;1;2;1;2;2;1;3;1;1;1;2;1;2;2;1;1;7;13;4;6;30
20;1;1;2;1;2;1;2;1;1;1;2;2;2;1;1;2;1;1;1;1;7;12;4;4;27
21;2;2;1;2;2;1;1;1;2;2;1;1;2;1;1;1;2;1;1;2;9;11;3;6;29
22;2;2;1;2;1;1;2;2;2;1;2;2;2;2;2;1;1;1;1;1;8;14;5;4;31
23;1;1;2;2;1;2;1;1;2;1;1;1;1;1;1;2;1;2;1;2;7;10;4;6;27
24;1;2;1;2;1;1;1;2;1;2;2;1;2;2;2;2;2;1;1;1;7;12;6;5;30
25;2;2;1;1;2;1;2;1;2;1;2;2;1;1;1;1;3;3;1;1;8;12;3;8;31
26;1;1;1;2;1;2;1;1;1;2;2;1;2;2;1;1;3;1;1;1;6;12;4;6;28
27;1;1;1;1;2;1;1;2;1;2;2;1;1;1;1;1;2;1;1;1;6;11;3;5;25
28;1;1;2;1;2;2;1;1;2;2;1;2;1;2;2;1;1;1;1;1;7;12;5;4;28
29;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;8;3;4;21
30;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;1;1;1;5;9;4;5;23
